"Now Married","Widowed","Divorced","Seperated","Never Married"
513,142,237,69,206
972,123,90,33,458
541,42,71,73,307
1179,47,143,21,427
289,23,77,2,160
28,1,1,2,91
1042,100,86,51,215
340,18,47,28,310
1768,84,42,2,828
344,42,87,51,289
942,95,170,18,556
614,60,116,2,820
599,65,50,21,411
525,95,201,108,755
512,50,88,24,333
413,85,54,84,373
390,70,31,52,189
986,51,141,26,506
893,68,77,21,368
691,32,204,21,858
186,58,124,59,161
452,19,41,65,219
825,68,214,105,249
1059,13,9,598,413
463,283,60,30,680
467,23,109,122,566
777,90,108,90,257
235,1,16,45,204
1166,86,35,24,730
646,29,64,110,783
1019,62,162,208,497
195,1,37,2,377
775,22,21,71,312
382,28,27,4,183
738,36,122,103,524
695,61,71,149,840
190,7,53,8,294
946,48,165,5,522
1385,236,164,201,1055
358,43,28,11,149
785,83,24,45,358
339,1,98,18,319
790,54,52,28,318
256,34,98,9,148
734,93,315,25,850
590,25,18,87,299
852,61,61,5,436
361,46,26,31,211
655,68,123,49,169
943,29,43,22,396
413,33,159,14,233
1221,97,78,26,575
577,46,94,50,199
354,146,19,2,433
469,25,10,16,283
320,18,36,23,164
325,9,25,13,157
1708,116,190,72,662
272,1,87,54,208
983,116,69,110,448
1298,136,88,79,585
372,98,1,10,155
564,163,153,27,253
576,115,125,35,738
662,27,14,31,202
640,103,238,179,749
554,1,39,73,476
324,1,1,18,219
387,174,152,66,325
548,1,441,17,1076
356,106,46,53,335
875,26,113,13,625
426,73,19,42,476
411,85,35,52,192
835,56,18,71,361
561,81,9,2,418
917,51,61,25,277
1230,185,106,69,604
658,9,9,2,168
633,17,27,28,254
806,38,43,44,267
954,35,91,17,210
1039,123,140,66,298
932,52,30,65,1037
717,75,68,30,355
772,123,42,155,340
921,1,92,12,161
586,1,29,2,116
616,16,16,18,304
635,126,191,2,309
533,47,27,2,321
314,18,34,2,71
1097,70,93,40,376
521,28,109,2,163
364,31,9,2,159
629,69,10,41,260
438,76,18,23,154
970,63,1,8,316
1080,53,17,119,247
518,46,116,15,160
271,121,1,10,113
1,1,1,2,24
1358,1,250,62,653
587,69,43,2,193
734,23,97,45,387
580,22,17,27,238
994,74,114,56,315
456,38,9,19,159
260,20,1,188,268
1186,1,48,66,519
668,117,7,39,178
514,1,45,19,203
1001,72,92,90,339
856,187,105,178,602
445,93,133,99,681
1317,1,119,58,293
341,9,46,45,239
553,68,67,50,574
396,94,49,71,244
273,16,196,58,420
292,10,29,2,194
427,46,42,34,164
309,45,56,15,206
1128,93,95,45,343
1080,77,41,2,341
313,12,24,27,241
777,89,121,121,526
419,17,15,2,260
567,31,166,2,293
378,42,34,2,192
748,38,24,16,615
439,28,109,2,383
653,115,58,13,355
574,83,88,21,242
861,52,75,30,370
561,116,32,29,518
425,103,126,8,317
392,73,5,41,187
729,33,105,165,818
578,1,1,18,41
13,1,3,7,14
44,22,1,2,27
832,83,107,42,424
780,57,26,69,284
594,148,103,115,462
335,52,37,18,96
363,50,65,16,233
190,56,119,8,300
391,43,73,21,246
473,26,62,81,375
631,160,98,35,424
960,99,191,97,693
353,51,37,2,189
673,52,54,13,269
486,26,26,2,163
647,37,81,2,389
524,79,61,34,177
478,32,45,12,165
741,101,91,89,335
739,111,117,2,379
389,54,19,2,195
699,37,181,29,267
852,98,152,32,432
934,40,37,88,574
787,115,72,71,612
927,280,80,28,418
918,203,183,44,718
641,102,66,10,306
242,1,38,31,119
383,31,10,18,107
555,10,1,2,168
715,84,46,64,353
638,49,71,45,184
725,12,16,50,443
501,106,24,82,523
556,96,40,29,177
500,68,42,234,333
1468,188,71,204,690
976,131,152,43,204
450,70,13,2,283
240,1,184,325,78
974,132,56,28,629
343,44,1,15,383
617,1,13,25,188
255,24,121,46,141
399,80,26,19,108
731,150,288,21,400
1029,62,129,61,290
766,86,338,91,372
389,108,185,56,112
274,35,26,68,223
185,85,1,107,94
927,131,284,122,388
859,135,213,229,446
275,16,25,69,292
548,32,114,27,316
655,99,44,10,271
333,31,13,11,500
834,66,350,67,713
133,76,56,25,302
465,119,17,132,230
250,30,9,203,319
633,67,97,23,493
1091,42,200,39,461
423,57,59,2,311
1204,1,51,60,200
641,19,150,2,294
827,1,83,60,468
604,1,41,21,233
350,113,42,33,326
331,28,45,21,142
636,106,59,34,193
962,94,151,38,602
454,25,152,50,671
393,110,130,77,503
744,67,46,22,783
259,12,38,11,149
456,51,76,90,379
861,57,109,41,285
296,69,40,2,55
295,106,87,19,316
275,36,64,68,260
492,52,126,122,561
1772,90,141,74,276
554,17,141,18,777
433,9,211,45,461
544,108,134,70,199
347,9,59,48,163
269,16,39,54,85
722,63,60,54,346
515,20,135,38,298
410,71,110,38,246
790,141,290,44,510
1047,43,83,267,976
885,61,156,37,1026
400,37,127,36,231
564,81,14,96,475
610,31,31,81,237
435,185,118,61,452
757,72,33,19,262
662,112,9,38,776
361,15,24,36,428
599,231,65,122,276
360,73,199,103,1161
73,16,96,12,95
1141,198,294,236,1048
80,19,344,70,467
668,47,38,84,425
362,231,190,184,499
238,6,317,125,650
605,20,115,24,565
267,11,53,29,230
461,66,58,55,664
148,1,51,73,631
199,26,109,48,510
342,27,248,44,819
467,27,73,204,491
421,43,55,262,434
295,1,1,89,338
391,147,88,121,878
386,51,92,100,111
401,1,461,533,1265
219,1,176,158,328
292,135,150,180,949
390,38,64,56,628
297,1,32,94,505
171,1,177,7,184
216,49,71,36,402
492,96,226,95,529
195,22,148,105,647
618,39,168,95,310
224,28,90,144,582
865,285,359,317,867
715,144,401,274,713
178,1,28,47,193
335,32,187,353,823
268,4,60,78,144
451,206,51,148,792
424,57,143,296,796
143,70,24,11,130
184,1,3,34,2664
35,1,27,20,2366
256,40,132,17,324
85,98,197,165,709
176,1,71,62,854
48,1,21,65,890
128,1,1,2,1174
294,7,156,86,1309
262,13,65,97,724
344,52,77,121,561
502,33,108,280,894
385,59,180,197,724
349,29,18,68,665
435,11,60,82,1045
159,1,74,58,583
367,1,38,97,1054
78,86,165,62,544
625,17,65,45,785
612,131,171,115,860
372,37,96,142,564
252,101,64,22,675
418,11,153,161,1238
227,15,1,73,620
774,121,121,206,742
456,1,156,69,1941
144,9,151,96,3619
403,57,122,33,1353
355,116,47,2,214
215,54,21,37,249
610,69,9,2,295
177,11,7,10,112
499,43,89,68,480
650,140,131,138,521
372,27,76,27,266
407,54,113,138,499
388,42,177,33,459
717,37,93,32,194
987,55,68,35,372
856,59,121,18,346
598,5,27,103,236
745,142,169,50,319
458,110,129,90,318
1617,44,254,207,357
711,34,27,2,136
575,42,43,29,194
168,49,188,116,534
570,56,163,103,464
674,59,40,14,260
1177,55,59,16,403
98,19,39,2,126
910,85,98,2,716
1171,17,36,160,697
1034,79,62,38,600
658,66,10,94,249
1,1,41,62,437
186,7,275,64,188
617,44,18,17,167
389,53,259,107,202
456,29,35,49,86
503,56,70,2,263
900,81,179,17,292
232,166,184,33,108
617,75,27,38,231
794,40,9,93,422
731,73,49,2,368
707,39,51,20,348
754,118,25,2,294
985,77,82,191,510
617,79,59,48,194
699,34,40,29,206
931,213,293,2,598
1118,145,182,63,585
1373,91,42,26,444
761,1,21,27,233
1441,132,108,65,592
692,31,16,10,268
1061,14,25,22,378
1003,54,32,7,297
758,22,22,14,225
617,85,209,23,218
1163,89,171,36,661
823,59,49,71,382
1071,57,105,74,384
724,35,37,41,339
304,44,52,22,160
325,11,69,2,131
782,79,73,6,311
776,62,29,200,329
424,93,52,2,263
592,74,154,108,434
367,14,41,26,179
351,1,114,19,534
130,1,1,2,507
144,24,82,99,205
416,57,41,58,332
175,73,71,66,511
422,27,26,2,279
750,59,17,59,471
869,156,243,145,395
1173,203,159,34,635
967,88,300,24,526
248,28,28,11,296
263,21,22,10,290
300,110,134,19,312
935,72,58,47,357
789,112,88,61,348
661,2,39,36,711
112,7,1,2,54
1252,10,324,264,768
312,51,94,84,217
1301,56,62,96,682
297,118,1,2,237
370,70,120,130,779
730,123,260,30,724
635,22,87,52,322
703,21,36,21,335
1021,118,57,28,488
864,107,95,33,459
507,10,223,111,325
580,29,172,115,887
946,1,155,31,519
681,35,149,57,261
390,31,117,2,309
210,21,59,12,120
440,85,85,182,226
403,71,186,46,533
423,62,137,24,179
512,50,115,66,507
289,109,1,16,164
380,11,146,101,220
679,19,64,97,425
205,20,200,25,470
884,21,141,11,210
383,45,70,2,149
706,54,116,8,338
805,106,260,148,1082
992,13,28,24,398
1228,155,114,19,375
1086,72,19,24,444
909,64,35,41,349
581,71,35,19,244
746,100,105,42,337
228,106,157,123,569
459,24,57,2,206
197,55,155,27,403
382,23,24,23,205
1124,221,131,75,567
1113,76,40,46,749
475,80,52,22,331
904,111,35,34,375
480,39,25,92,263
748,48,48,17,299
976,159,125,29,1026
762,46,55,51,312
446,48,84,59,272
379,43,120,48,458
590,76,108,24,342
729,80,115,56,619
981,25,282,88,768
667,70,154,179,866
856,92,115,63,448
725,55,26,35,468
901,286,102,74,557
452,232,305,76,208
684,22,45,20,283
1437,70,38,142,451
843,131,132,151,246
921,1,260,2,422
339,31,19,41,112
326,91,223,38,471
1074,186,72,28,320
450,37,107,2,224
886,296,300,15,583
74,42,187,2,73
902,100,150,33,469
190,40,179,2,181
441,24,29,12,255
359,18,82,2,119
624,206,162,86,113
685,66,64,31,231
560,28,17,14,71
1114,299,222,29,932
594,56,185,30,452
312,30,80,16,186
689,300,307,15,36
874,59,13,2,102
673,269,232,17,78
385,146,18,2,73
578,144,26,2,42
552,155,91,30,49
637,284,89,26,23
336,192,309,16,70
573,217,101,27,57
171,509,191,2,126
168,136,99,27,62
181,290,159,48,138
1,123,62,12,46
752,100,77,39,139
1111,345,113,27,82
885,54,37,34,437
620,91,99,33,290
367,38,20,2,139
864,99,59,72,226
1366,76,42,38,357
822,82,74,31,531
632,15,29,7,347
1289,90,133,48,693
1318,61,1,2,517
899,68,72,23,470
1117,44,10,14,295
629,15,65,2,135
1821,406,15,50,53
922,1,269,24,184
1209,595,32,2,76
1072,123,136,73,224
1972,290,138,2,458
355,18,93,2,96
991,49,44,41,650
1043,220,89,124,714
1052,13,49,27,187
886,1,34,2,162
1012,65,48,72,388
1494,65,52,16,736
660,51,168,81,286
470,37,30,22,172
687,38,236,41,459
1649,139,57,46,728
1264,37,39,36,465
549,40,7,15,203
604,55,8,8,175
551,18,75,32,595
1240,68,159,97,848
323,28,16,9,131
852,52,23,2,384
1236,62,70,39,373
716,87,33,54,512
65,1,1,2,1
887,131,112,58,346
1374,19,112,17,348
706,67,147,72,568
625,49,62,33,441
1052,73,14,17,278
644,13,134,2,244
970,32,81,31,390
1224,110,150,22,473
937,13,77,35,433
616,179,177,74,201
1556,124,81,55,382
350,228,66,38,134
366,1,78,2,286
628,27,34,57,615
2094,10,56,37,793
483,25,16,31,201
694,22,46,44,296
682,19,63,46,263
791,57,118,105,680
847,24,25,2,253
613,28,35,80,302
314,13,32,6,128
444,1,103,72,689
972,22,195,15,424
1169,62,212,38,603
934,52,20,26,291
14,1,7,2,1
317,72,40,36,384
1,1,1,30,2544
345,124,56,99,136
74,37,265,462,2520
508,104,224,81,293
519,1,61,121,452
776,26,62,91,207
430,106,58,14,366
614,101,112,105,332
456,100,78,38,334
779,43,132,136,336
179,82,1,2,73
46,1,1,2,322
501,26,72,56,237
28,38,103,7,533
336,1,38,117,1281
1247,169,100,29,349
375,1,1,96,189
302,1,87,20,266
378,37,296,86,609
22,1,1,2,9
139,5,8,103,6290
